------------------------------------------------------------
 solve prev v1=0.6 elect=1
------------------------------------------------------------
Position (um), Total Current (A)
                   0,       0.236513480139
       33.5999991597,       0.236513480139
       60.4799984875,       0.236513480139
       81.9839979498,       0.236513480139
       99.1871975196,       0.236513480139
       112.949757175,       0.236513480139
         123.9598049,       0.236513480139
        132.76784308,       0.236513480139
       139.814273624,       0.236513480139
       145.451418059,       0.236513480139
       149.961133607,       0.236513480139
       153.568906045,       0.236513480139
       156.455123996,       0.236513480139
       158.764098356,       0.236513480139
       160.611277845,       0.236513480139
       162.089021436,       0.236513480139
       163.271216308,       0.236513480139
       164.216972206,       0.236513480139
       164.973576925,       0.236513480139
         165.5788607,       0.236513480139
       166.063087719,       0.236513480139
       166.450469335,       0.236513480139
       166.760374628,       0.236513480139
       167.008298862,       0.236513480138
       167.206638249,       0.236513480139
       167.365309759,       0.236513480139
       167.492246967,       0.236513480139
       167.593796734,       0.236513480138
       167.675036547,        0.23651348014
       167.740028397,       0.236513480141
       167.792021877,       0.236513480139
       167.833616662,       0.236513480138
       167.866892489,       0.236513480139
       167.893513151,       0.236513480136
       167.914809681,       0.236513480136
       167.931846904,       0.236513480139
       167.945476683,       0.236513480139
       167.956380506,       0.236513480135
       167.965103565,       0.236513480139
       167.972082012,       0.236513480136
       167.977664769,       0.236513480161
       167.982130975,       0.236513480127
        167.98570394,       0.236513480184
       167.988562311,       0.236513480237
       167.990849009,       0.236513480086
       167.992678367,       0.236513480027
       167.994141853,       0.236513479959
       167.995312642,       0.236513480188
       167.996249274,       0.236513480233
       167.996998579,       0.236513480651
       167.997598023,       0.236513480785
       167.998077578,       0.236513479807
       167.998461222,       0.236513479691
       167.998768137,       0.236513479655
        167.99901367,       0.236513480956
       167.999210095,       0.236513482079
       167.999367236,       0.236513479521
       167.999492949,       0.236513475168
       167.999593519,       0.236513480769
       167.999673975,       0.236513481863
       167.999738339,       0.236513473719
       167.999789831,       0.236513482453
       167.999831025,       0.236513494798
        167.99986398,       0.236513471375
       167.999890343,       0.236513477569
       167.999911434,        0.23651346431
       167.999928307,       0.236513448492
       167.999941806,       0.236513504885
       167.999952604,        0.23651352367
       167.999961243,       0.236513420481
       167.999968154,       0.236513468061
       167.999973683,       0.236513455614
       167.999978106,       0.236513491845
       167.999981645,       0.236513423492
       167.999984476,       0.236513600289
        167.99998674,       0.236513589243
       167.999988552,       0.236513449622
       167.999990001,        0.23651331584
       167.999991161,        0.23651373402
       167.999992088,       0.236513616127
        167.99999283,       0.236513583905
       167.999993424,        0.23651300778
       167.999993899,       0.236513975928
       167.999994279,       0.236513785608
       167.999994583,       0.236512870827
       167.999994826,       0.236511106602
       167.999995021,       0.236515292158
       167.999995176,       0.236514656806
       167.999995301,       0.236513248252
         167.9999954,       0.236511937009
        167.99999548,       0.236513539397
       167.999995544,       0.236508893321
       167.999995595,       0.236510041204
       167.999995636,       0.236523580985
       167.999995668,       0.236527229386
       167.999995694,       0.236505783475
       167.999995715,       0.236519238739
       167.999995732,       0.236529929769
       167.999995745,       0.236510079921
       167.999995756,       0.236502536728
       167.999996162,        0.23651265548
       167.999996649,       0.236513884756
       167.999997233,       0.236513598903
       167.999997934,       0.236513279116
       167.999998775,       0.236513508314
       167.999999785,        0.23651345093
       168.000000996,       0.236513551434
        168.00000245,       0.236513743585
       168.000004194,       0.236513384482
       168.000006288,       0.236513378994
         168.0000088,          0.236513597
       168.000011814,       0.236513443892
       168.000015431,       0.236513434766
       168.000019772,       0.236513510758
       168.000024981,       0.236513524818
       168.000031232,       0.236513436485
       168.000038733,       0.236513467915
       168.000047734,        0.23651352522
       168.000058535,       0.236513456752
       168.000071497,        0.23651345033
       168.000087051,       0.236513468643
       168.000105716,       0.236513491353
       168.000128113,       0.236513488455
        168.00015499,       0.236513481969
       168.000187243,       0.236513475008
       168.000225946,       0.236513472221
        168.00027239,       0.236513488076
       168.000328122,       0.236513485253
       168.000395001,       0.236513476397
       168.000475256,       0.236513481955
       168.000571562,       0.236513484159
       168.000687129,       0.236513476666
       168.000825809,       0.236513480551
       168.000992225,       0.236513479566
       168.001191925,       0.236513477997
       168.001431564,       0.236513480782
       168.001719131,       0.236513481062
       168.002064212,       0.236513480551
       168.002478309,       0.236513480174
       168.002975225,        0.23651347971
       168.003571525,       0.236513480264
       168.004287084,       0.236513480025
       168.005145756,       0.236513479426
       168.006176162,       0.236513480571
       168.007412648,       0.236513480493
       168.008896433,       0.236513479996
       168.010676974,        0.23651348057
       168.012813623,       0.236513479981
       168.015377602,       0.236513480002
       168.018454377,       0.236513480233
       168.022146507,       0.236513479864
       168.026577063,       0.236513480376
        168.03189373,       0.236513480345
        168.03827373,       0.236513479951
        168.04592973,         0.2365134799
       168.055116931,       0.236513480286
       168.066141572,       0.236513480291
       168.079371141,       0.236513480096
       168.095246623,        0.23651348005
       168.114297202,        0.23651348004
       168.137157898,       0.236513480186
       168.164590732,       0.236513480216
       168.197510132,       0.236513480125
       168.237013413,       0.236513480124
       168.284417351,       0.236513480161
       168.341302075,       0.236513480108
       168.409563745,       0.236513480136
       168.491477748,       0.236513480138
       168.589774552,       0.236513480132
       168.707730717,       0.236513480131
       168.849278115,       0.236513480135
       169.019134993,       0.236513480153
       169.222963246,       0.236513480149
        169.46755715,       0.236513480135
       169.761069834,       0.236513480133
       170.113285055,        0.23651348014
       170.535943321,       0.236513480137
       171.043133239,        0.23651348014
       171.651761142,       0.236513480141
       172.382114625,       0.236513480138
       173.258538804,        0.23651348014
        174.31024782,       0.236513480139
       175.572298638,       0.236513480138
        177.08675962,        0.23651348014
       178.904112799,        0.23651348014
       181.084936613,       0.236513480138
        183.70192519,       0.236513480139
       186.842311483,        0.23651348014
       190.610775034,       0.236513480139
       195.132931295,       0.236513480139
       200.559518809,       0.236513480139
       207.071423825,       0.236513480139
       214.885709844,       0.236513480139
       224.262853068,       0.236513480139
       235.515424936,       0.236513480139
       249.018511178,       0.236513480139
       265.222214668,       0.236513480139
       284.666658856,       0.236513480139
       307.999991881,       0.236513480139
       335.999991512,       0.236513480139

