------------------------------------------------------------
 solve prev v1=0.6 elect=1
------------------------------------------------------------
Position (um), Electrostatic Potential (V)
                   0,       0.242758410646
       33.5999991597,       0.241706308683
       60.4799984875,       0.240868409005
       81.9839979498,       0.240205013029
       99.1871975196,       0.239684119962
       112.949757175,        0.23927925479
         123.9598049,        0.23896794955
        132.76784308,       0.238730980496
       139.814273624,        0.23855208012
       145.451418059,       0.238417799093
       149.961133607,       0.238317320929
       153.568906045,       0.238242174857
       156.455123996,         0.2381858764
       158.764098356,       0.238143549343
       160.611277845,       0.238111573349
       162.089021436,       0.238087281981
       163.271216308,       0.238068718907
       164.216972206,       0.238054449263
       164.973576925,       0.238043418011
         165.5788607,       0.238034845782
       166.063087719,       0.238028153294
       166.450469335,       0.238022906926
       166.760374628,        0.23801877967
       167.008298862,       0.238015523293
       167.206638249,       0.238012954085
       167.365309759,       0.238011040213
       167.492246967,       0.238011004918
       167.593796734,       0.238023060405
       167.675036547,       0.238100332138
       167.740028397,       0.238429957687
       167.792021877,       0.239466852346
       167.833616662,       0.241969695847
       167.866892489,       0.246745404162
       167.893513151,       0.254155644666
       167.914809681,       0.263821134497
       167.931846904,       0.274831487007
       167.945476683,       0.286196442303
       167.956380506,       0.297148133174
       167.965103565,       0.307214508999
       167.972082012,        0.31616927095
       167.977664769,       0.323952844088
       167.982130975,       0.330605145865
        167.98570394,       0.336218715063
       167.988562311,       0.340909109161
       167.990849009,       0.344797334434
       167.992678367,       0.347999973938
       167.994141853,        0.35062405022
       167.995312642,        0.35276474824
       167.996249274,       0.354504841873
       167.996998579,       0.355915107544
       167.997598023,       0.357055274925
       167.998077578,       0.357975229747
       167.998461222,        0.35871629017
       167.998768137,       0.359312448822
        167.99901367,       0.359791519962
       167.999210095,       0.360176162622
       167.999367236,       0.360484770653
       167.999492949,       0.360732232831
       167.999593519,        0.36093057295
       167.999673975,       0.361089483068
       167.999738339,       0.361216764003
       167.999789831,        0.36131868683
       167.999831025,       0.361400287996
        167.99986398,       0.361465609257
       167.999890343,       0.361517892111
       167.999911434,       0.361559734954
       167.999928307,       0.361593219836
       167.999941806,       0.361620014535
       167.999952604,       0.361641454644
       167.999961243,       0.361658609517
       167.999968154,       0.361672335198
       167.999973683,       0.361683316885
       167.999978106,       0.361692102966
       167.999981645,       0.361699132298
       167.999984476,       0.361704756063
        167.99998674,       0.361709255267
       167.999988552,       0.361712854752
       167.999990001,        0.36171573442
       167.999991161,       0.361718038204
       167.999992088,       0.361719881263
        167.99999283,       0.361721355731
       167.999993424,       0.361722535318
       167.999993899,       0.361723478997
       167.999994279,       0.361724233945
       167.999994583,       0.361724837907
       167.999994826,       0.361725321079
       167.999995021,       0.361725707618
       167.999995176,        0.36172601685
       167.999995301,       0.361726264236
         167.9999954,       0.361726462145
       167.999995544,       0.361726747135
       167.999995636,       0.361726929529
       167.999995732,        0.36172712097
       167.999996162,       0.361727974946
       167.999996649,       0.361728942324
       167.999997233,       0.361730103155
       167.999997934,       0.361731496119
       167.999998775,       0.361733167627
       167.999999785,       0.361735173367
       168.000000996,       0.361737580157
        168.00000245,        0.36174046816
       168.000004194,       0.361743933557
       168.000006288,       0.361748091736
         168.0000088,       0.361753081123
       168.000011814,        0.36175906777
       168.000015431,       0.361766250857
       168.000019772,       0.361774869283
       168.000024981,       0.361785209552
       168.000031232,       0.361797615222
       168.000038733,       0.361812498207
       168.000047734,        0.36183035229
       168.000058535,       0.361851769273
       168.000071497,       0.361877458255
       168.000087051,       0.361908268624
       168.000105716,       0.361945217446
       168.000128113,       0.361989522029
        168.00015499,       0.362042638584
       168.000187243,       0.362106308007
       168.000225946,       0.362182609938
        168.00027239,       0.362274026382
       168.000328122,       0.362383516243
       168.000395001,       0.362514602183
       168.000475256,       0.362671471143
       168.000571562,       0.362859089664
       168.000687129,       0.363083334673
       168.000825809,       0.363351139606
       168.000992225,        0.36367065431
       168.001191925,       0.364051414986
       168.001431564,       0.364504517042
       168.001719131,       0.365042778618
       168.002064212,       0.365680875199
       168.002478309,       0.366435415131
       168.002975225,       0.367324911245
       168.003571525,       0.368369584028
       168.004287084,        0.36959090623
       168.005145756,       0.371010767738
       168.006176162,       0.372650105487
       168.007412648,       0.374526813591
       168.008896433,       0.376652740322
       168.010676974,       0.379029622941
       168.012813623,       0.381643963839
       168.015377602,       0.384461192655
       168.018454377,       0.387420078099
       168.022146507,       0.390429275514
       168.026577063,       0.393368917005
        168.03189373,       0.396100589753
        168.03827373,       0.398487668641
        168.04592973,       0.400423652513
       168.055116931,       0.401859717684
       168.066141572,       0.402818471036
       168.079371141,       0.403384503319
       168.095246623,       0.403674286805
       168.114297202,       0.403800146887
       168.137157898,       0.403845403193
       168.164590732,       0.403858509634
       168.197510132,       0.403861451184
       168.237013413,       0.403861897855
       168.284417351,       0.403861869526
       168.341302075,       0.403861758755
       168.409563745,       0.403861618264
       168.491477748,        0.40386144924
       168.589774552,       0.403861246549
       168.707730717,       0.403861003556
       168.849278115,       0.403860712303
       169.019134993,       0.403860363284
       169.222963246,        0.40385994515
        169.46755715,       0.403859444368
       169.761069834,       0.403858844817
       170.113285055,       0.403858127318
       170.535943321,       0.403857269081
       171.043133239,       0.403856243066
       171.651761142,       0.403855017242
       172.382114625,       0.403853553724
       173.258538804,       0.403851807766
        174.31024782,       0.403849726587
       175.572298638,       0.403847247976
        177.08675962,       0.403844298609
       178.904112799,       0.403840791984
       181.084936613,       0.403836625818
        183.70192519,        0.40383167871
       186.842311483,       0.403825805805
       190.610775034,       0.403818833161
       195.132931295,       0.403810550532
       200.559518809,       0.403800702349
       207.071423825,       0.403788976882
       214.885709844,       0.403774993768
       224.262853068,       0.403758290221
       235.515424936,       0.403738306085
       249.018511178,       0.403714367302
       265.222214668,       0.403685666531
       284.666658856,       0.403651238991
       307.999991881,       0.403609931698
       335.999991512,       0.403560364876

