------------------------------------------------------------
 solve prev v1=0.6 elect=1
------------------------------------------------------------
Position (um), Hole Current (A)
                   0,       0.235404896544
       33.5999991597,       0.234561780343
       60.4799984875,        0.23191696755
       81.9839979498,       0.226844748451
       99.1871975196,       0.218756839753
       112.949757175,       0.207489635194
         123.9598049,       0.193402008181
        132.76784308,       0.177262671325
       139.814273624,       0.160034324804
       145.451418059,       0.142662370464
       149.961133607,        0.12593110292
       153.568906045,        0.11040021761
       156.455123996,      0.0964040045623
       158.764098356,      0.0840866532212
       160.611277845,       0.073451022297
       162.089021436,      0.0644063739486
       163.271216308,      0.0568079972515
       164.216972206,      0.0504866840358
       164.973576925,      0.0452687603682
         165.5788607,      0.0409885012394
       166.063087719,      0.0374949493668
       166.450469335,      0.0346549143359
       166.760374628,      0.0323535392983
       167.008298862,      0.0304934376512
       167.206638249,      0.0289930815204
       167.365309759,      0.0277848791223
       167.492246967,      0.0268131901666
       167.593796734,      0.0260323412731
       167.675036547,      0.0254044664039
       167.740028397,      0.0248968886743
       167.792021877,      0.0244792077524
       167.833616662,      0.0241210227278
       167.866892489,        0.02379114863
       167.893513151,      0.0234584664186
       167.914809681,      0.0230953748774
       167.931846904,      0.0226875213315
       167.945476683,      0.0222508495882
       167.956380506,       0.021836738749
       167.965103565,      0.0214997500951
       167.972082012,      0.0212588399883
       167.977664769,      0.0210988589155
       167.982130975,      0.0209949754843
        167.98570394,      0.0209269860303
       167.988562311,      0.0208815415963
       167.990849009,      0.0208504018811
       167.992678367,      0.0208285389471
       167.994141853,      0.0208128476923
       167.995312642,      0.0208013684369
       167.996249274,      0.0207928330429
       167.996998579,      0.0207863997552
       167.997598023,      0.0207814960385
       167.998077578,      0.0207777235404
       167.998461222,      0.0207747993352
       167.998768137,       0.020772518725
        167.99901367,      0.0207707311969
       167.999210095,      0.0207693245032
       167.999367236,      0.0207682139011
       167.999492949,      0.0207673347776
       167.999593519,      0.0207666374488
       167.999673975,      0.0207660833568
       167.999738339,      0.0207656424798
       167.999789831,      0.0207652913566
       167.999831025,      0.0207650114585
       167.999890343,      0.0207646098414
       167.999928307,      0.0207643536956
       167.999968154,      0.0207640857584
       168.000004194,      0.0207638438278
       168.000047734,      0.0207635531062
       168.000087051,      0.0207632909294
       168.000128113,      0.0207630181415
       168.000187243,      0.0207626266836
       168.000225946,      0.0207623714166
        168.00027239,      0.0207620661295
       168.000328122,      0.0207617011263
       168.000395001,      0.0207612651193
       168.000475256,      0.0207607448169
       168.000571562,      0.0207601245323
       168.000687129,      0.0207593859955
       168.000825809,       0.020758508066
       168.000992225,      0.0207574662867
       168.001191925,      0.0207562327565
       168.001431564,      0.0207547759225
       168.001719131,      0.0207530605196
       168.002064212,      0.0207510478041
       168.002478309,      0.0207486960164
       168.002975225,       0.020745961248
       168.003571525,      0.0207427987914
       168.004287084,       0.020739164994
       168.005145756,      0.0207350196187
       168.006176162,      0.0207303285446
       168.007412648,      0.0207250664691
       168.008896433,      0.0207192190748
       168.010676974,      0.0207127838246
       168.012813623,      0.0207057684199
       168.015377602,      0.0206981859509
       168.018454377,      0.0206900459892
       168.022146507,      0.0206813414478
       168.026577063,      0.0206720317557
        168.03189373,      0.0206620236485
        168.03827373,      0.0206511514773
        168.04592973,      0.0206391593058
       168.055116931,      0.0206256872994
       168.066141572,      0.0206102647395
       168.079371141,      0.0205923106446
       168.095246623,       0.020571139615
       168.114297202,      0.0205459660823
       168.137157898,      0.0205158981224
       168.164590732,      0.0204799154548
       168.197510132,      0.0204368333048
       168.237013413,      0.0203852583248
       168.284417351,      0.0203235415149
       168.341302075,       0.020249729018
       168.409563745,       0.020161509213
       168.491477748,      0.0200561546422
       168.589774552,      0.0199304585043
       168.707730717,      0.0197806667117
       168.849278115,      0.0196024078317
       169.019134993,      0.0193906249465
       169.222963246,      0.0191395158454
        169.46755715,      0.0188424912365
       169.761069834,      0.0184921650341
       170.113285055,      0.0180803963882
       170.535943321,      0.0175984099712
       171.043133239,      0.0170370288061
       171.651761142,      0.0163870616918
       172.382114625,      0.0156398931573
       173.258538804,      0.0147883244555
        174.31024782,      0.0138277039226
       175.572298638,      0.0127573562468
        177.08675962,      0.0115822630341
       178.904112799,      0.0103148520336
       181.084936613,     0.00897661562572
        183.70192519,     0.00759911228877
       186.842311483,      0.0062237489648
       190.610775034,     0.00489968207678
       195.132931295,     0.00367933821566
       200.559518809,     0.00261157590487
       207.071423825,     0.00173342798304
       214.885709844,     0.00106247534419
       224.262853068,    0.000592646200151
       235.515424936,    0.000295826343719
       249.018511178,    0.000129648871016
       265.222214668,    4.88461736393e-05
       284.666658856,     1.5486245274e-05
       307.999991881,    4.15350150502e-06
       335.999991512,    1.59801920794e-06

