------------------------------------------------------------
 solve prev v1=0.6 elect=1
------------------------------------------------------------
Position (um), Conduction Band Potential (eV)
                   0,       0.323124178691
       33.5999991597,       0.324176280655
       60.4799984875,       0.325014180332
       81.9839979498,       0.325677576308
       99.1871975196,       0.326198469376
       112.949757175,       0.326603334547
         123.9598049,       0.326914639788
        132.76784308,       0.327151608842
       139.814273624,       0.327330509218
       145.451418059,       0.327464790245
       149.961133607,       0.327565268409
       153.568906045,       0.327640414481
       156.455123996,       0.327696712938
       158.764098356,       0.327739039995
       160.611277845,       0.327771015989
       162.089021436,       0.327795307357
       163.271216308,        0.32781387043
       164.216972206,       0.327828140075
       164.973576925,       0.327839171327
         165.5788607,       0.327847743555
       166.063087719,       0.327854436044
       166.450469335,       0.327859682411
       166.760374628,       0.327863809667
       167.008298862,       0.327867066044
       167.206638249,       0.327869635252
       167.365309759,       0.327871549124
       167.492246967,        0.32787158442
       167.593796734,       0.327859528932
       167.675036547,         0.3277822572
       167.740028397,       0.327452631651
       167.792021877,       0.326415736991
       167.833616662,        0.32391289349
       167.866892489,       0.319137185175
       167.893513151,       0.311726944671
       167.914809681,       0.302061454841
       167.931846904,        0.29105110233
       167.945476683,       0.279686147034
       167.956380506,       0.268734456163
       167.965103565,       0.258668080339
       167.972082012,       0.249713318387
       167.977664769,        0.24192974525
       167.982130975,       0.235277443473
        167.98570394,       0.229663874275
       167.988562311,       0.224973480176
       167.990849009,       0.221085254903
       167.992678367,       0.217882615399
       167.994141853,       0.215258539118
       167.995312642,       0.213117841098
       167.996249274,       0.211377747465
       167.996998579,       0.209967481794
       167.997598023,       0.208827314412
       167.998077578,        0.20790735959
       167.998461222,       0.207166299167
       167.998768137,       0.206570140516
        167.99901367,       0.206091069375
       167.999210095,       0.205706426715
       167.999367236,       0.205397818684
       167.999492949,       0.205150356507
       167.999593519,       0.204952016387
       167.999673975,       0.204793106269
       167.999738339,       0.204665825335
       167.999789831,       0.204563902508
       167.999831025,       0.204482301342
        167.99986398,        0.20441698008
       167.999890343,       0.204364697226
       167.999911434,       0.204322854383
       167.999928307,       0.204289369502
       167.999941806,       0.204262574803
       167.999952604,       0.204241134694
       167.999961243,       0.204223979821
       167.999968154,       0.204210254139
       167.999973683,       0.204199272452
       167.999978106,       0.204190486372
       167.999981645,        0.20418345704
       167.999984476,       0.204177833275
        167.99998674,       0.204173334071
       167.999988552,       0.204169734585
       167.999990001,       0.204166854918
       167.999991161,       0.204164551134
       167.999992088,       0.204162708075
        167.99999283,       0.204161233607
       167.999993424,       0.204160054019
       167.999993899,       0.204159110341
       167.999994279,       0.204158355392
       167.999994583,        0.20415775143
       167.999994826,       0.204157268258
       167.999995021,        0.20415688172
       167.999995176,       0.204156572487
       167.999995301,       0.204156325101
         167.9999954,       0.204156127192
       167.999995544,       0.204155842202
       167.999995636,       0.204155659808
       167.999995732,       0.204155468367
       167.999996162,       0.204154614391
       167.999996649,       0.204153647013
       167.999997233,       0.204152486182
       167.999997934,       0.204151093219
       167.999998775,       0.204149421711
       167.999999785,        0.20414741597
       168.000000996,       0.204145009181
        168.00000245,       0.204142121178
       168.000004194,        0.20413865578
       168.000006288,       0.204134497601
         168.0000088,       0.204129508215
       168.000011814,       0.204123521568
       168.000015431,        0.20411633848
       168.000019772,       0.204107720054
       168.000024981,       0.204097379786
       168.000031232,       0.204084974116
       168.000038733,       0.204070091131
       168.000047734,       0.204052237048
       168.000058535,       0.204030820065
       168.000071497,       0.204005131083
       168.000087051,       0.203974320713
       168.000105716,       0.203937371891
       168.000128113,       0.203893067309
        168.00015499,       0.203839950754
       168.000187243,       0.203776281331
       168.000225946,       0.203699979399
        168.00027239,       0.203608562955
       168.000328122,       0.203499073095
       168.000395001,       0.203367987155
       168.000475256,       0.203211118194
       168.000571562,       0.203023499674
       168.000687129,       0.202799254665
       168.000825809,       0.202531449731
       168.000992225,       0.202211935028
       168.001191925,       0.201831174351
       168.001431564,       0.201378072295
       168.001719131,       0.200839810719
       168.002064212,       0.200201714138
       168.002478309,       0.199447174207
       168.002975225,       0.198557678092
       168.003571525,        0.19751300531
       168.004287084,       0.196291683108
       168.005145756,       0.194871821599
       168.006176162,        0.19323248385
       168.007412648,       0.191355775746
       168.008896433,       0.189229849016
       168.010676974,       0.186852966397
       168.012813623,       0.184238625499
       168.015377602,       0.181421396682
       168.018454377,       0.178462511238
       168.022146507,       0.175453313824
       168.026577063,       0.172513672333
        168.03189373,       0.169781999584
        168.03827373,       0.167394920697
        168.04592973,       0.165458936824
       168.055116931,       0.164022871653
       168.066141572,       0.163064118302
       168.079371141,       0.162498086019
       168.095246623,       0.162208302532
       168.114297202,       0.162082442451
       168.137157898,       0.162037186145
       168.164590732,       0.162024079704
       168.197510132,       0.162021138153
       168.237013413,       0.162020691483
       168.284417351,       0.162020719811
       168.341302075,       0.162020830582
       168.409563745,       0.162020971074
       168.491477748,       0.162021140098
       168.589774552,       0.162021342789
       168.707730717,       0.162021585781
       168.849278115,       0.162021877034
