------------------------------------------------------------
 solve prev v1=0.6 elect=1
------------------------------------------------------------
Position (um), Electron Current (A)
                   0,     0.00110858359507
       33.5999991597,     0.00195169979614
       60.4799984875,     0.00459651258879
       81.9839979498,     0.00966873168842
       99.1871975196,      0.0177566403865
       112.949757175,       0.029023844945
         123.9598049,      0.0431114719579
        132.76784308,       0.059250808814
       139.814273624,      0.0764791553346
       145.451418059,      0.0938511096754
       149.961133607,        0.11058237722
       153.568906045,       0.126113262529
       156.455123996,       0.140109475577
       158.764098356,       0.152426826918
       160.611277845,       0.163062457842
       162.089021436,       0.172107106191
       163.271216308,       0.179705482888
       164.216972206,       0.186026796103
       164.973576925,       0.191244719771
         165.5788607,         0.1955249789
       166.063087719,       0.199018530773
       166.450469335,       0.201858565803
       166.760374628,       0.204159940841
       167.008298862,       0.206020042487
       167.206638249,       0.207520398619
       167.365309759,       0.208728601017
       167.492246967,       0.209700289972
       167.593796734,       0.210481138865
       167.675036547,       0.211109013736
       167.740028397,       0.211616591467
       167.792021877,       0.212034272387
       167.833616662,        0.21239245741
       167.866892489,       0.212722331509
       167.893513151,       0.213055013717
       167.914809681,       0.213418105259
       167.931846904,       0.213825958808
       167.945476683,       0.214262630551
       167.956380506,       0.214676741386
       167.965103565,       0.215013730044
       167.972082012,       0.215254640148
       167.977664769,       0.215414621246
       167.982130975,       0.215518504643
        167.98570394,       0.215586494153
       167.988562311,        0.21563193864
       167.990849009,       0.215663078205
       167.992678367,        0.21568494108
       167.994141853,       0.215700632267
       167.995312642,       0.215712111751
       167.996249274,        0.21572064719
       167.996998579,       0.215727080896
       167.997598023,       0.215731984746
       167.998077578,       0.215735756266
       167.998461222,       0.215738680356
       167.998768137,        0.21574096093
        167.99901367,       0.215742749759
       167.999210095,       0.215744157575
       167.999367236,        0.21574526562
       167.999492949,       0.215746140391
       167.999593519,        0.21574684332
       167.999673975,       0.215747398506
       167.999738339,       0.215747831239
       167.999789831,       0.215748191096
       167.999831025,        0.21574848334
       167.999890343,       0.215748867727
       167.999941806,       0.215749241912
       167.999984476,       0.215749623642
       167.999990001,       0.215749377136
       167.999991161,        0.21574980226
       167.999993424,       0.215749092864
       167.999993899,       0.215750062101
       167.999994583,       0.215748963017
       167.999994826,       0.215747205804
       167.999995021,       0.215751383049
       167.999995176,       0.215750749197
       167.999995301,       0.215749345284
         167.9999954,       0.215748039058
        167.99999548,       0.215749638439
       167.999995544,       0.215745001779
       167.999995595,       0.215746148408
       167.999995636,       0.215759653861
       167.999995668,       0.215763290791
       167.999995694,       0.215741903072
       167.999995715,       0.215755319989
       167.999995732,       0.215765973113
       167.999995745,        0.21574618926
       167.999995756,       0.215738680596
       167.999996162,       0.215748759366
       167.999996649,       0.215749989181
       167.999997233,       0.215749708079
       167.999997934,       0.215749394081
       168.000000996,       0.215749685841
       168.000047734,       0.215749972114
       168.000105716,       0.215750324477
        168.00015499,       0.215750641981
       168.000225946,       0.215751100805
        168.00027239,       0.215751421947
       168.000328122,       0.215751784127
       168.000395001,       0.215752211278
       168.000475256,       0.215752737138
       168.000571562,       0.215753359627
       168.000687129,        0.21575409067
       168.000825809,       0.215754972485
       168.000992225,       0.215756013279
       168.001191925,       0.215757245241
       168.001431564,       0.215758704859
       168.001719131,       0.215760420543
       168.002064212,       0.215762432747
       168.002478309,       0.215764784158
       168.002975225,       0.215767518462
       168.003571525,       0.215770681473
       168.004287084,       0.215774315031
       168.005145756,       0.215778459807
       168.006176162,       0.215783152026
       168.007412648,       0.215788414024
       168.008896433,       0.215794260922
       168.010676974,       0.215800696745
       168.012813623,       0.215807711561
       168.015377602,       0.215815294051
       168.018454377,       0.215823434244
       168.022146507,       0.215832138416
       168.026577063,       0.215841448621
        168.03189373,       0.215851456697
        168.03827373,       0.215862328474
        168.04592973,       0.215874320594
       168.055116931,       0.215887792987
       168.066141572,       0.215903215552
       168.079371141,       0.215921169451
       168.095246623,       0.215942340435
       168.114297202,       0.215967513958
       168.137157898,       0.215997582064
       168.164590732,       0.216033564761
       168.197510132,        0.21607664682
       168.237013413,       0.216128221799
       168.284417351,       0.216189938646
       168.341302075,        0.21626375109
       168.409563745,       0.216351970923
       168.491477748,       0.216457325496
       168.589774552,       0.216583021628
       168.707730717,       0.216732813419
       168.849278115,       0.216911072303
       169.019134993,       0.217122855206
       169.222963246,       0.217373964304
        169.46755715,       0.217670988898
       169.761069834,       0.218021315099
       170.113285055,       0.218433083752
       170.535943321,       0.218915070166
       171.043133239,       0.219476451334
       171.651761142,       0.220126418449
       172.382114625,       0.220873586981
       173.258538804,       0.221725155685
        174.31024782,       0.222685776216
       175.572298638,       0.223756123892
        177.08675962,       0.224931217106
       178.904112799,       0.226198628106
       181.084936613,       0.227536864513
        183.70192519,        0.22891436785
       186.842311483,       0.230289731175
       190.610775034,       0.231613798062
       195.132931295,       0.232834141923
       200.559518809,       0.233901904234
       207.071423825,       0.234780052156
       214.885709844,       0.235451004795
       224.262853068,       0.235920833939
       235.515424936,       0.236217653795
       249.018511178,       0.236383831268
       265.222214668,       0.236464633965
       284.666658856,       0.236497993894
       307.999991881,       0.236509326638
       335.999991512,        0.23651188212

