------------------------------------------------------------
 solve prev v1=-1 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Hole Charge Concentration (/cm3)
       60.9378742121,      822386035860000
       61.2745475503,      822073685187000
       61.6112208885,      821756091128000
       61.9478942266,      821438497069000
       62.2845675648,      821115888880000
        62.621240903,      820793280691000
       62.9579142412,      820465871905000
       63.2945875794,      820138463118000
       63.6312609176,      819806452586000
       63.9679342558,      819474442053000
        64.304607594,      819138014914000
       64.6412809322,      818801587774000
       64.9779542703,      818460916363000
       65.3146276085,      818120244951000
       65.6513009467,      817775489645000
       65.9879742849,      817430734339000
       66.3246476231,      817082044347000
       66.6613209613,      816733354356000
       66.9979942995,      816380868459000
       67.3346676377,      816028382561000
       67.6713409758,      815672229797000
        68.008014314,      815316077034000
       68.3446876522,      814956377345000
       68.6813609904,      814596677656000
       69.0180343286,      814233542488000
       69.3547076668,      813870407320000
        69.691381005,      813503940182000
       70.0280543432,      813137473044000
       70.3647276814,      812767770034000
       70.7014010195,      812398067024000
       71.0380743577,      812025217317000
       71.3747476959,      811652367611000
       71.7114210341,      811276453917000
       72.0480943723,      810900540223000
       72.3847677105,      810521639211000
       72.7214410487,      810142738199000
       73.0581143869,      809760920898000
        73.394787725,      809379103597000
       73.7314610632,      808994435765000
       74.0681344014,      808609767933000
       74.4048077396,      808222310407000
       74.7414810778,      807834852881000
        75.078154416,      807444661899000
       75.4148277542,      807054470916000
       75.7515010924,      806661598421000
       76.0881744306,      806268725925000
       76.4248477687,      805873219847000
       76.7615211069,      805477713768000
       77.0981944451,      805079618288000
       77.4348677833,      804681522808000
       77.7715411215,      804280878605000
       78.1082144597,      803880234402000
       78.4448877979,      803477078883000
       78.7815611361,      803073923364000
       79.1182344743,      802668290879000
       79.4549078124,      802262658393000
       79.7915811506,      801854580435000
       80.1282544888,      801446502477000
        80.464927827,      801036007869000
       80.8016011652,      800625513261000
       81.1382745034,      800212628334000
       81.4749478416,      799799743406000
       81.8116211798,      799384492157000
       82.1482945179,      798969240908000
       82.4849678561,      798551645158000
       82.8216411943,      798134049408000
       83.1583145325,      797714128941000
       83.4949878707,      797294208474000
       83.8316612089,      796871981171000
       84.1683345471,      796449753868000
       84.5050078853,      796025235832000
       84.8416812235,      795600717796000
       85.1783545616,      795173923467000
       85.5150278998,      794747129137000
        85.851701238,      794318071398000
       86.1883745762,      793889013659000
       86.5250479144,      793457703942000
       86.8617212526,      793026394226000
       87.1983945908,      792592842603000
        87.535067929,      792159290980000
       87.8717412671,      791723506253000
       88.2084146053,      791287721525000
       88.5450879435,      790849711304000
       88.8817612817,      790411701082000
       89.2184346199,      789971471868000
       89.5551079581,      789531242653000
       89.8917812963,      789088799904000
       90.2284546345,      788646357155000
       90.5651279727,      788201705357000
       90.9018013108,      787757053559000
        91.238474649,      787310196288000
       91.5751479872,      786863339016000
       91.9118213254,      786414278993000
       92.2484946636,      785965218969000
       92.5851680018,      785513958118000
         92.92184134,      785062697267000
       93.2585146782,      784609236764000
       93.5951880163,      784155776261000
       93.9318613545,      783700116583000
       94.2685346927,      783244456905000
       94.6052080309,      782786597873000
       94.9418813691,      782328738841000
       95.2785547073,      781868679661000
       95.6152280455,      781408620481000
       95.9519013837,      780946359784000
       96.2885747219,      780484099087000
         96.62524806,      780019634965000
       96.9619213982,      779555170843000
       97.2985947364,      779088500880000
       97.6352680746,      778621830918000
       97.9719414128,      778152952226000
        98.308614751,      777684073534000
       98.6452880892,      777212982777000
       98.9819614274,      776741892021000
       99.3186347655,      776268585448000
       99.6553081037,      775795278875000
       99.9919814419,      775319752340000
        100.32865478,      774844225805000
       100.665328118,      774366474794000
       101.002001456,      773888723784000
       101.338674795,      773408743438000
       101.675348133,      772928763093000
       102.012021471,      772446548227000
       102.348694809,      771964333361000
       102.685368147,      771479878482000
       103.022041486,      770995423603000
       103.358714824,      770508722933000
       103.695388162,      770022022262000
         104.0320615,      769533069748000
       104.368734838,      769044117234000
       104.705408177,      768552906570000
       105.042081515,      768061695907000
       105.378754853,      767568220546000
       105.715428191,      767074745185000
       106.052101529,      766578998352000
       106.388774868,      766083251520000
       106.725448206,      765585226227000
       107.062121544,      765087200934000
       107.398794882,      764586889989000
        107.73546822,      764086579044000
       108.072141558,      763583975065000
       108.408814897,      763081371086000
       108.745488235,      762576466510000
       109.082161573,      762071561933000
       109.418834911,      761564349025000
       109.755508249,      761057136116000
       110.092181588,      760547606979000
       110.428854926,      760038077842000
       110.765528264,      759526224426000
       111.102201602,      759014371010000
        111.43887494,      758500185119000
       111.775548279,      757985999227000
       112.112221617,      757469472527000
       112.448894955,      756952945826000
       112.785568293,      756434069849000
       113.122241631,      755915193873000
       113.458914969,      755393960029000
       113.795588308,      754872726185000
       114.132261646,      754349125763000
       114.468934984,      753825525341000
       114.805608322,      753299549517000
        115.14228166,      752773573692000
       115.478954999,      752245213532000
       115.815628337,      751716853372000
       116.152301675,      751186099840000
       116.488975013,      750655346308000
       116.825648351,      750122190267000
        117.16232169,      749589034227000
       117.498995028,      749053466447000
       117.835668366,      748517898667000
       118.172341704,      747979909826000
       118.509015042,      747441920984000
        118.84568838,      746901501672000
       119.182361719,      746361082360000
       119.519035057,      745818223084000
       119.855708395,      745275363807000
       120.192381733,      744730054992000
       120.529055071,      744184746177000
        120.86572841,      743636978170000
       121.202401748,      743089210163000
       121.539075086,      742538973238000
       121.875748424,      741988736312000
       122.212421762,      741436020668000
       122.549095101,      740883305024000
       122.885768439,      740328100790000
       123.222441777,      739772896556000
       123.559115115,      739215193795000
       123.895788453,      738657491034000
       124.232461791,      738097279740000
        124.56913513,      737537068447000
       124.905808468,      736974338554000
       125.242481806,      736411608661000
       125.579155144,      735846350038000
       125.915828482,      735281091414000
       126.252501821,      734713293869000
       126.589175159,      734145496325000
       126.925848497,      733575149609000
       127.262521835,      733004802893000
       127.599195173,      732431896699000
       127.935868512,      731858990505000
        128.27254185,      731283514470000
       128.609215188,      730708038434000
       128.945888526,      730129982139000
       129.282561864,      729551925844000
       129.619235202,      728971278817000
       129.955908541,      728390631790000
       130.292581879,      727807383507000
       130.629255217,      727224135224000
       130.965928555,      726638275109000
       131.302601893,      726052414993000
       131.639275232,      725463932419000
        131.97594857,      724875449845000
       132.312621908,      724284334135000
       132.649295246,      723693218425000
       132.985968584,      723099458855000
       133.322641923,      722505699284000
       133.659315261,      721909285079000
       133.995988599,      721312870874000
       134.332661937,      720713791214000
       134.669335275,      720114711554000
       135.006008614,      719512955570000
       135.342681952,      718911199586000
        135.67935529,      718306756366000
       136.016028628,      717702313145000
       136.352701966,      717095171727000
       136.689375304,      716488030309000
       137.026048643,      715878179689000
       137.362721981,      715268329069000
       137.699395319,      714655758198000
       138.036068657,      714043187327000
       138.372741995,      713427885111000
       138.709415334,      712812582895000
       139.046088672,      712194538197000
        139.38276201,      711576493498000
       139.719435348,      710955695137000
       140.056108686,      710334896776000
       140.392782025,      709711333528000
       140.729455363,      709087770280000
       141.066128701,      708461430879000
       141.402802039,      707835091478000
       141.739475377,      707205964616000
       142.076148715,      706576837753000
       142.412822054,      705944912078000
       142.749495392,      705312986403000
        143.08616873,      704678250522000
       143.422842068,      704043514642000
       143.759515406,      703405957123000
       144.096188745,      702768399604000
       144.432862083,      702128008970000
       144.769535421,      701487618336000
       145.106208759,      700844383071000
       145.442882097,      700201147806000
       145.779555436,      699555056353000
       146.116228774,      698908964900000
       146.452902112,      698260005660000
        146.78957545,      697611046420000
       147.126248788,      696959207755000
       147.462922126,      696307369091000
       147.799595465,      695652639322000
       148.136268803,      694997909553000
       148.472942141,      694340276960000
       148.809615479,      693682644368000
       149.146288817,      693022097193000
       149.482962156,      692361550018000
       149.819635494,      691698076460000
       150.156308832,      691034602903000
        150.49298217,      690368191125000
       150.829655508,      689701779346000
       151.166328847,      689032417467000
       151.503002185,      688363055589000
       151.839675523,      687690731691000
       152.176348861,      687018407793000
       152.513022199,      686343109919000
       152.849695537,      685667812044000
       153.186368876,      684989528195000
       153.523042214,      684311244345000
       153.859715552,      683629962484000
        154.19638889,      682948680623000
       154.533062228,      682264388674000
       154.869735567,      681580096725000
       155.206408905,      680892782572000
       155.543082243,      680205468419000
       155.879755581,      679515119908000
