------------------------------------------------------------
 solve prev v1=0.5 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Hole Charge Concentration (/cm3)
       60.9378742121,      488007789311000
       61.2745475503,      489916391093000
       61.6112208885,      491810841801000
       61.9478942266,      493705292509000
       62.2845675648,      495585687589000
        62.621240903,      497466082668000
       62.9579142412,      499332517074000
       63.2945875794,      501198951481000
       63.6312609176,      503051519682000
       63.9679342558,      504904087884000
        64.304607594,      506742883860000
       64.6412809322,      508581679837000
       64.9779542703,      510406797078000
       65.3146276085,      512231914320000
       65.6513009467,      514043445829000
       65.9879742849,      515854977338000
       66.3246476231,      517653015627000
       66.6613209613,      519451053917000
       66.9979942995,      521235691012000
       67.3346676377,      523020328106000
       67.6713409758,      524791655542000
        68.008014314,      526562982978000
       68.3446876522,      528321091803000
       68.6813609904,      530079200628000
       69.0180343286,      531824181401000
       69.3547076668,      533569162174000
        69.691381005,      535301104966000
       70.0280543432,      537033047758000
       70.3647276814,      538752042154000
       70.7014010195,      540471036549000
       71.0380743577,      542177171644000
       71.3747476959,      543883306739000
       71.7114210341,      545576671142000
       72.0480943723,      547270035546000
       72.3847677105,      548950717382000
       72.7214410487,      550631399217000
       73.0581143869,      552299486122000
        73.394787725,      553967573027000
       73.7314610632,      555623152152000
       74.0681344014,      557278731277000
       74.4048077396,      558921889290000
       74.7414810778,      560565047303000
        75.078154416,      562195870386000
       75.4148277542,      563826693469000
       75.7515010924,      565445267321000
       76.0881744306,      567063841173000
       76.4248477687,      568670251012000
       76.7615211069,      570276660850000
       77.0981944451,      571870991408000
       77.4348677833,      573465321966000
       77.7715411215,      575047657497000
       78.1082144597,      576629993029000
       78.4448877979,      578200417306000
       78.7815611361,      579770841583000
       79.1182344743,      581329437899000
       79.4549078124,      582888034215000
       79.7915811506,      584434885384000
       80.1282544888,      585981736554000
        80.464927827,      587516924913000
       80.8016011652,      589052113273000
       81.1382745034,      590575720683000
       81.4749478416,      592099328093000
       81.8116211798,      593611435937000
       82.1482945179,      595123543782000
       82.4849678561,      596624232970000
       82.8216411943,      598124922159000
       83.1583145325,      599614273128000
       83.4949878707,      601103624097000
       83.8316612089,      602581716810000
       84.1683345471,      604059809522000
       84.5050078853,      605526723471000
       84.8416812235,      606993637420000
       85.1783545616,      608449451626000
       85.5150278998,      609905265833000
        85.851701238,      611350058850000
       86.1883745762,      612794851867000
       86.5250479144,      614228701780000
       86.8617212526,      615662551694000
       87.1983945908,      617085536121000
        87.535067929,      618508520549000
       87.8717412671,      619920716644000
       88.2084146053,      621332912740000
       88.5450879435,      622734397192000
       88.8817612817,      624135881645000
       89.2184346199,      625526730681000
       89.5551079581,      626917579717000
       89.8917812963,      628297869102000
       90.2284546345,      629678158486000
       90.5651279727,      631047963526000
       90.9018013108,      632417768565000
        91.238474649,      633777164105000
       91.5751479872,      635136559645000
       91.9118213254,      636485620076000
       92.2484946636,      637834680507000
       92.5851680018,      639173479762000
         92.92184134,      640512279017000
       93.2585146782,      641840890577000
       93.5951880163,      643169502136000
       93.9318613545,      644487999027000
       94.2685346927,      645806495917000
       94.6052080309,      647114950714000
       94.9418813691,      648423405511000
       95.2785547073,      649721890340000
       95.6152280455,      651020375169000
       95.9519013837,      652308961708000
       96.2885747219,      653597548247000
         96.62524806,      654876307727000
       96.9619213982,      656155067206000
       97.2985947364,      657424070412000
       97.6352680746,      658693073617000
       97.9719414128,      659952390891000
        98.308614751,      661211708165000
       98.6452880892,      662461409406000
       98.9819614274,      663711110648000
       99.3186347655,      664951265318000
       99.6553081037,      666191419988000
       99.9919814419,      667422097106000
        100.32865478,      668652774225000
       100.665328118,      669874042376000
       101.002001456,      671095310528000
       101.338674795,      672307237860000
       101.675348133,      673519165192000
       102.012021471,      674721819420000
       102.348694809,      675924473647000
       102.685368147,      677117922053000
       103.022041486,      678311370458000
       103.358714824,      679495679894000
       103.695388162,      680679989329000
         104.0320615,      681855226218000
       104.368734838,      683030463106000
       104.705408177,      684196693443000
       105.042081515,      685362923781000
       105.378754853,      686520213138000
       105.715428191,      687677502496000
       106.052101529,      688825916020000
       106.388774868,      689974329544000
       106.725448206,      691113931961000
       107.062121544,      692253534377000
       107.398794882,      693384389991000
        107.73546822,      694515245605000
       108.072141558,      695637418303000
       108.408814897,      696759591001000
       108.745488235,      697873144253000
       109.082161573,      698986697505000
       109.418834911,      700091694366000
       109.755508249,      701196691227000
       110.092181588,      702293194339000
       110.428854926,      703389697451000
       110.765528264,      704477769045000
       111.102201602,      705565840639000
        111.43887494,      706645542536000
       111.775548279,      707725244433000
       112.112221617,      708796638046000
       112.448894955,      709868031659000
       112.785568293,      710931177995000
       113.122241631,      711994324330000
       113.458914969,      713049283993000
       113.795588308,      714104243655000
       114.132261646,      715151076843000
       114.468934984,      716197910032000
       114.805608322,      717236676547000
        115.14228166,      718275443063000
       115.478954999,      719306202305000
       115.815628337,      720336961548000
       116.152301675,      721359772522000
       116.488975013,      722382583496000
       116.825648351,      723397504810000
        117.16232169,      724412426123000
       117.498995028,      725419515992000
       117.835668366,      726426605861000
       118.172341704,      727425922108000
       118.509015042,      728425238356000
        118.84568838,      729416838415000
       119.182361719,      730408438474000
       119.519035057,      731392379391000
       119.855708395,      732376320308000
       120.192381733,      733352658741000
       120.529055071,      734328997175000
        120.86572841,      735297789399000
       121.202401748,      736266581624000
       121.539075086,      737227883532000
       121.875748424,      738189185439000
       122.212421762,      739143052541000
       122.549095101,      740096919643000
       122.885768439,      741043407071000
       123.222441777,      741989894498000
       123.559115115,      742929057006000
       123.895788453,      743868219514000
       124.232461791,      744800111481000
        124.56913513,      745732003448000
       124.905808468,      746656678879000
       125.242481806,      747581354310000
       125.579155144,      748498866838000
       125.915828482,      749416379367000
       126.252501821,      750326782254000
       126.589175159,      751237185142000
       126.925848497,      752140531283000
       127.262521835,      753043877424000
       127.599195173,      753940219346000
       127.935868512,      754836561268000
        128.27254185,      755725951133000
       128.609215188,      756615340998000
       128.945888526,      757497830605000
       129.282561864,      758380320211000
       129.619235202,      759255960997000
       129.955908541,      760131601782000
       130.292581879,      761000444823000
       130.629255217,      761869287865000
       130.965928555,      762731383881000
       131.302601893,      763593479897000
       131.639275232,      764448879251000
        131.97594857,      765304278604000
       132.312621908,      766153031303000
       132.649295246,      767001784002000
       132.985968584,      767843939700000
       133.322641923,      768686095398000
       133.659315261,      769521703398000
       133.995988599,      770357311398000
       134.332661937,      771186420654000
       134.669335275,      772015529909000
       135.006008614,      772838189025000
       135.342681952,      773660848141000
        135.67935529,      774477105374000
       136.016028628,      775293362608000
       136.352701966,      776103265873000
       136.689375304,      776913169138000
       137.026048643,      777716766004000
       137.362721981,      778520362871000
       137.699395319,      779317700565000
       138.036068657,      780115038260000
       138.372741995,      780906163671000
       138.709415334,      781697289082000
       139.046088672,      782482248759000
        139.38276201,      783267208435000
       139.719435348,      784046048587000
       140.056108686,      784824888740000
       140.392782025,      785597655245000
       140.729455363,      786370421750000
       141.066128701,      787137160149000
       141.402802039,      787903898547000
       141.739475377,      788664654048000
       142.076148715,      789425409550000
       142.412822054,      790180227031000
       142.749495392,      790935044512000
        143.08616873,      791683968520000
       143.422842068,      792432892528000
       143.759515406,      793175967283000
       144.096188745,      793919042037000
       144.432862083,      794656311430000
       144.769535421,      795393580822000
       145.106208759,      796125088419000
       145.442882097,      796856596015000
       145.779555436,      797582385057000
       146.116228774,      798308174099000
       146.452902112,      799028287504000
        146.78957545,      799748400910000
       147.126248788,      800462881275000
       147.462922126,      801177361641000
       147.799595465,      801886251242000
       148.136268803,      802595140843000
       148.472942141,      803298481637000
       148.809615479,      804001822431000
       149.146288817,      804699656054000
       149.482962156,      805397489678000
       149.819635494,      806089857453000
       150.156308832,      806782225228000
        150.49298217,      807469168160000
       150.829655508,      808156111091000
       151.166328847,      808837669868000
       151.503002185,      809519228646000
       151.839675523,      810195443646000
       152.176348861,      810871658646000
       152.513022199,      811542569932000
       152.849695537,      812213481218000
       153.186368876,      812879128541000
       153.523042214,      813544775865000
       153.859715552,      814205198667000
        154.19638889,      814865621468000
       154.533062228,      815520858879000
       154.869735567,      816176096290000
       155.206408905,      816826187131000
       155.543082243,      817476277972000
       155.879755581,      818121260757000
       156.216428919,      818766243541000
       156.553102258,      819406156475000
       156.889775596,      820046069410000
       157.226448934,      820680950392000
       157.563122272,      821315831374000
        157.89979561,      821945717997000
       158.236468949,      822575604620000
       158.573142287,      823200534170000
       158.909815625,      823825463721000
       159.246488963,      824445473182000
       159.583162301,      825065482642000
       159.919835639,      825680608691000
       160.256508978,      826295734739000
       160.593182316,      826906013748000
       160.929855654,      827516292758000
       161.266528992,      828121760799000
        161.60320233,      828727228839000
       161.939875669,      829327921678000
       162.276549007,      829928614517000
       162.613222345,      830524567619000
       162.949895683,      831120520720000
