------------------------------------------------------------
 solve prev v1=1 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Hole Charge Concentration (/cm3)
       60.9378742121,      314294919966000
       61.2745475503,      315748021075000
       61.6112208885,      317195391889000
       61.9478942266,      318642762702000
       62.2845675648,      320084420614000
        62.621240903,      321526078527000
       62.9579142412,      322962040926000
       63.2945875794,      324398003325000
       63.6312609176,      325828287591000
       63.9679342558,      327258571857000
        64.304607594,      328683195362000
       64.6412809322,      330107818867000
       64.9779542703,      331526798975000
       65.3146276085,      332945779082000
       65.6513009467,      334359133147000
       65.9879742849,      335772487212000
       66.3246476231,      337180232579000
       66.6613209613,      338587977946000
       66.9979942995,      339990131952000
       67.3346676377,      341392285958000
       67.6713409758,      342788865927000
        68.008014314,      344185445896000
       68.3446876522,      345576469144000
       68.6813609904,      346967492392000
       69.0180343286,      348352976221000
       69.3547076668,      349738460051000
        69.691381005,      351118421755000
       70.0280543432,      352498383459000
       70.3647276814,      353872840318000
       70.7014010195,      355247297176000
       71.0380743577,      356616266457000
       71.3747476959,      357985235738000
       71.7114210341,      359348734697000
       72.0480943723,      360712233656000
       72.3847677105,      362070279535000
       72.7214410487,      363428325414000
       73.0581143869,      364780935441000
        73.394787725,      366133545468000
       73.7314610632,      367480736858000
       74.0681344014,      368827928248000
       74.4048077396,      370169718202000
       74.7414810778,      371511508155000
        75.078154416,      372847913858000
       75.4148277542,      374184319560000
       75.7515010924,      375515358182000
       76.0881744306,      376846396804000
       76.4248477687,      378172085501000
       76.7615211069,      379497774197000
       77.0981944451,      380818130107000
       77.4348677833,      382138486017000
       77.7715411215,      383453526264000
       78.1082144597,      384768566511000
       78.4448877979,      386078308200000
       78.7815611361,      387388049890000
       79.1182344743,      388692510112000
       79.4549078124,      389996970334000
       79.7915811506,      391296166160000
       80.1282544888,      392595361986000
        80.464927827,      393889310471000
       80.8016011652,      395183258956000
       81.1382745034,      396471977136000
       81.4749478416,      397760695317000
       81.8116211798,      399044200210000
       82.1482945179,      400327705103000
       82.4849678561,      401606013708000
       82.8216411943,      402884322313000
       83.1583145325,      404157451611000
       83.4949878707,      405430580909000
       83.8316612089,      406698547860000
       84.1683345471,      407966514810000
       84.5050078853,      409229336355000
       84.8416812235,      410492157900000
       85.1783545616,      411749850960000
       85.5150278998,      413007544020000
        85.851701238,      414260125495000
       86.1883745762,      415512706971000
       86.5250479144,      416760193741000
       86.8617212526,      418007680512000
       87.1983945908,      419250089437000
        87.535067929,      420492498361000
       87.8717412671,      421729846278000
       88.2084146053,      422967194194000
       88.5450879435,      424199497917000
       88.8817612817,      425431801640000
       89.2184346199,      426659077964000
       89.5551079581,      427886354287000
       89.8917812963,      429108619983000
       90.2284546345,      430330885680000
       90.5651279727,      431548157497000
       90.9018013108,      432765429314000
        91.238474649,      433977723978000
       91.5751479872,      435190018641000
       91.9118213254,      436397352855000
       92.2484946636,      437604687069000
       92.5851680018,      438807077511000
         92.92184134,      440009467954000
       93.2585146782,      441206931281000
       93.5951880163,      442404394608000
       93.9318613545,      443596947451000
       94.2685346927,      444789500294000
       94.6052080309,      445977159260000
       94.9418813691,      447164818226000
       95.2785547073,      448347599898000
       95.6152280455,      449530381569000
       95.9519013837,      450708302504000
       96.2885747219,      451886223439000
         96.62524806,      453059300170000
       96.9619213982,      454232376901000
       97.2985947364,      455400625934000
       97.6352680746,      456568874968000
       97.9719414128,      457732312786000
        98.308614751,      458895750604000
       98.6452880892,      460054393662000
       98.9819614274,      461213036719000
       99.3186347655,      462366901446000
       99.6553081037,      463520766173000
       99.9919814419,      464669868972000
        100.32865478,      465818971771000
       100.665328118,      466963329018000
       101.002001456,      468107686266000
       101.338674795,      469247314310000
       101.675348133,      470386942355000
       102.012021471,      471521857519000
       102.348694809,      472656772683000
       102.685368147,      473786991261000
       103.022041486,      474917209839000
       103.358714824,      476042748099000
       103.695388162,      477168286358000
         104.0320615,      478289160537000
       104.368734838,      479410034717000
       104.705408177,      480526261027000
       105.042081515,      481642487338000
       105.378754853,      482754081962000
       105.715428191,      483865676587000
       106.052101529,      484972655679000
       106.388774868,      486079634771000
       106.725448206,      487182014456000
       107.062121544,      488284394141000
       107.398794882,      489382190515000
        107.73546822,      490479986890000
       108.072141558,      491573216021000
       108.408814897,      492666445151000
       108.745488235,      493755123076000
       109.082161573,      494843801001000
       109.418834911,      495927943727000
       109.755508249,      497012086453000
       110.092181588,      498091709960000
       110.428854926,      499171333466000
       110.765528264,      500246453701000
       111.102201602,      501321573935000
        111.43887494,      502392206815000
       111.775548279,      503462839695000
       112.112221617,      504529001108000
       112.448894955,      505595162522000
       112.785568293,      506656868325000
       113.122241631,      507718574128000
       113.458914969,      508775840147000
       113.795588308,      509833106166000
       114.132261646,      510885948195000
       114.468934984,      511938790225000
       114.805608322,      512987224028000
        115.14228166,      514035657832000
       115.478954999,      515079699143000
       115.815628337,      516123740453000
       116.152301675,      517163404971000
       116.488975013,      518203069489000
       116.825648351,      519238372883000
        117.16232169,      520273676277000
       117.498995028,      521304634184000
       117.835668366,      522335592092000
       118.172341704,      523362220118000
       118.509015042,      524388848144000
        118.84568838,      525411161862000
       119.182361719,      526433475579000
       119.519035057,      527451490528000
       119.855708395,      528469505477000
       120.192381733,      529483237166000
       120.529055071,      530496968854000
        120.86572841,      531506432757000
       121.202401748,      532515896661000
       121.539075086,      533521108221000
       121.875748424,      534526319781000
       122.212421762,      535527294406000
       122.549095101,      536528269032000
       122.885768439,      537525022100000
       123.222441777,      538521775168000
       123.559115115,      539514322021000
       123.895788453,      540506868873000
       124.232461791,      541495224819000
        124.56913513,      542483580766000
       124.905808468,      543467761081000
       125.242481806,      544451941397000
       125.579155144,      545431961324000
