------------------------------------------------------------
 solve init
------------------------------------------------------------
Position (um), Quasi Fermi Level (eV)
                   0,                    0
      0.336673338188,                    0
      0.673346676377,                    0
       1.01002001456,                    0
       1.34669335275,                    0
       1.68336669094,                    0
       2.02004002913,                    0
       2.35671336732,                    0
       2.69338670551,                    0
       3.03006004369,                    0
       3.36673338188,                    0
       3.70340672007,                    0
       4.04008005826,                    0
       4.37675339645,                    0
       4.71342673464,                    0
       5.05010007282,                    0
       5.38677341101,                    0
        5.7234467492,                    0
       6.06012008739,                    0
       6.39679342558,                    0
       6.73346676377,                    0
       7.07014010195,                    0
       7.40681344014,                    0
       7.74348677833,                    0
       8.08016011652,                    0
       8.41683345471,                    0
        8.7535067929,                    0
       9.09018013108,                    0
       9.42685346927,                    0
       9.76352680746,                    0
       10.1002001456,                    0
       10.4368734838,                    0
        10.773546822,                    0
       11.1102201602,                    0
       11.4468934984,                    0
       11.7835668366,                    0
       12.1202401748,                    0
        12.456913513,                    0
       12.7935868512,                    0
       13.1302601893,                    0
       13.4669335275,                    0
       13.8036068657,                    0
       14.1402802039,                    0
       14.4769535421,                    0
       14.8136268803,                    0
       15.1503002185,                    0
       15.4869735567,                    0
       15.8236468949,                    0
        16.160320233,                    0
       16.4969935712,                    0
       16.8336669094,                    0
       17.1703402476,                    0
       17.5070135858,                    0
        17.843686924,                    0
       18.1803602622,                    0
       18.5170336004,                    0
       18.8537069385,                    0
       19.1903802767,                    0
       19.5270536149,                    0
       19.8637269531,                    0
       20.2004002913,                    0
       20.5370736295,                    0
       20.8737469677,                    0
       21.2104203059,                    0
       21.5470936441,                    0
       21.8837669822,                    0
       22.2204403204,                    0
       22.5571136586,                    0
       22.8937869968,                    0
        23.230460335,                    0
       23.5671336732,                    0
       23.9038070114,                    0
       24.2404803496,                    0
       24.5771536877,                    0
       24.9138270259,                    0
       25.2505003641,                    0
       25.5871737023,                    0
       25.9238470405,                    0
       26.2605203787,                    0
       26.5971937169,                    0
       26.9338670551,                    0
       27.2705403933,                    0
       27.6072137314,                    0
       27.9438870696,                    0
       28.2805604078,                    0
        28.617233746,                    0
       28.9539070842,                    0
       29.2905804224,                    0
       29.6272537606,                    0
       29.9639270988,                    0
       30.3006004369,                    0
       30.6372737751,                    0
       30.9739471133,                    0
       31.3106204515,                    0
       31.6472937897,                    0
       31.9839671279,                    0
       32.3206404661,                    0
       32.6573138043,                    0
       32.9939871425,                    0
       33.3306604806,                    0
       33.6673338188,                    0
        34.004007157,                    0
       34.3406804952,                    0
       34.6773538334,                    0
       35.0140271716,                    0
       35.3507005098,                    0
        35.687373848,                    0
       36.0240471861,                    0
       36.3607205243,                    0
       36.6973938625,                    0
       37.0340672007,                    0
       37.3707405389,                    0
       37.7074138771,                    0
       38.0440872153,                    0
       38.3807605535,                    0
       38.7174338917,                    0
       39.0541072298,                    0
        39.390780568,                    0
       39.7274539062,                    0
       40.0641272444,                    0
       40.4008005826,                    0
       40.7374739208,                    0
        41.074147259,                    0
       41.4108205972,                    0
       41.7474939353,                    0
       42.0841672735,                    0
       42.4208406117,                    0
       42.7575139499,                    0
       43.0941872881,                    0
       43.4308606263,                    0
       43.7675339645,                    0
       44.1042073027,                    0
       44.4408806409,                    0
        44.777553979,                    0
       45.1142273172,                    0
       45.4509006554,                    0
       45.7875739936,                    0
       46.1242473318,                    0
         46.46092067,                    0
       46.7975940082,                    0
       47.1342673464,                    0
       47.4709406846,                    0
       47.8076140227,                    0
       48.1442873609,                    0
       48.4809606991,                    0
       48.8176340373,                    0
