------------------------------------------------------------
 solve init
------------------------------------------------------------
Position (um), Quasi Fermi Level (eV)
                   0,    9.18412042522e-17
      0.336673338188,    9.18412042522e-17
      0.673346676377,    9.18412042522e-17
       1.01002001456,    9.18412042522e-17
       1.34669335275,    9.18412042522e-17
       1.68336669094,    9.18412042522e-17
       2.02004002913,    9.18412042522e-17
       2.35671336732,    9.18412042522e-17
       2.69338670551,    9.18412042522e-17
       3.03006004369,    9.18412042522e-17
       3.36673338188,    9.18412042522e-17
       3.70340672007,    9.18412042522e-17
       4.04008005826,    9.18412042522e-17
       4.37675339645,    9.18412042522e-17
       4.71342673464,    9.18412042522e-17
       5.05010007282,    9.18412042522e-17
       5.38677341101,    9.18412042522e-17
        5.7234467492,    9.18412042522e-17
       6.06012008739,    9.18412042522e-17
       6.39679342558,    9.18412042522e-17
       6.73346676377,    9.18412042522e-17
       7.07014010195,    9.18412042522e-17
       7.40681344014,    9.18412042522e-17
       7.74348677833,    9.18412042522e-17
       8.08016011652,    9.18412042522e-17
       8.41683345471,    9.18412042522e-17
        8.7535067929,    9.18412042522e-17
       9.09018013108,    9.18412042522e-17
       9.42685346927,    9.18412042522e-17
       9.76352680746,    9.18412042522e-17
       10.1002001456,    9.18412042522e-17
       10.4368734838,    9.18412042522e-17
        10.773546822,    9.18412042522e-17
       11.1102201602,    9.18412042522e-17
       11.4468934984,    9.18412042522e-17
       11.7835668366,    9.18412042522e-17
       12.1202401748,    9.18412042522e-17
        12.456913513,    9.18412042522e-17
       12.7935868512,    9.18412042522e-17
       13.1302601893,    9.18412042522e-17
       13.4669335275,    9.18412042522e-17
       13.8036068657,    9.18412042522e-17
       14.1402802039,    9.18412042522e-17
       14.4769535421,    9.18412042522e-17
       14.8136268803,    9.18412042522e-17
       15.1503002185,    9.18412042522e-17
       15.4869735567,    9.18412042522e-17
       15.8236468949,    9.18412042522e-17
        16.160320233,    9.18412042522e-17
       16.4969935712,    9.18412042522e-17
       16.8336669094,    9.18412042522e-17
       17.1703402476,    9.18412042522e-17
       17.5070135858,    9.18412042522e-17
        17.843686924,    9.18412042522e-17
       18.1803602622,    9.18412042522e-17
       18.5170336004,    9.18412042522e-17
       18.8537069385,    9.18412042522e-17
       19.1903802767,    9.18412042522e-17
       19.5270536149,    9.18412042522e-17
       19.8637269531,    9.18412042522e-17
       20.2004002913,    9.18412042522e-17
       20.5370736295,    9.18412042522e-17
       20.8737469677,    9.18412042522e-17
       21.2104203059,    9.18412042522e-17
       21.5470936441,    9.18412042522e-17
       21.8837669822,    9.18412042522e-17
       22.2204403204,    9.18412042522e-17
       22.5571136586,    9.18412042522e-17
       22.8937869968,    9.18412042522e-17
        23.230460335,    9.18412042522e-17
       23.5671336732,    9.18412042522e-17
       23.9038070114,    9.18412042522e-17
       24.2404803496,    9.18412042522e-17
       24.5771536877,    9.18412042522e-17
       24.9138270259,    9.18412042522e-17
       25.2505003641,    9.18412042522e-17
       25.5871737023,    9.18412042522e-17
       25.9238470405,    9.18412042522e-17
       26.2605203787,    9.18412042522e-17
       26.5971937169,    9.18412042522e-17
       26.9338670551,    9.18412042522e-17
       27.2705403933,    9.18412042522e-17
       27.6072137314,    9.18412042522e-17
       27.9438870696,    9.18412042522e-17
       28.2805604078,    9.18412042522e-17
        28.617233746,    9.18412042522e-17
       28.9539070842,    9.18412042522e-17
       29.2905804224,    9.18412042522e-17
       29.6272537606,    9.18412042522e-17
       29.9639270988,    9.18412042522e-17
       30.3006004369,    9.18412042522e-17
       30.6372737751,    9.18412042522e-17
       30.9739471133,    9.18412042522e-17
       31.3106204515,    9.18412042522e-17
