------------------------------------------------------------
 solve vstep=0.1 nsteps=5 elect=1
------------------------------------------------------------
Position (um), Electrostatic Potential (V)
                   0,       0.857241589354
      0.336673338188,        0.85674058735
      0.673346676377,       0.856239585346
       1.01002001456,       0.855738583342
       1.34669335275,       0.855237581338
       1.68336669094,       0.854736579334
       2.02004002913,        0.85423557733
       2.35671336732,       0.853734575326
       2.69338670551,       0.853233573322
       3.03006004369,       0.852732571318
       3.36673338188,       0.852231569314
       3.70340672007,        0.85173056731
       4.04008005826,       0.851229565306
       4.37675339645,       0.850728563302
       4.71342673464,       0.850227561298
       5.05010007282,       0.849726559294
       5.38677341101,        0.84922555729
        5.7234467492,       0.848724555286
       6.06012008739,       0.848223553282
       6.39679342558,       0.847722551278
       6.73346676377,       0.847221549274
       7.07014010195,        0.84672054727
       7.40681344014,       0.846219545266
       7.74348677833,       0.845718543262
       8.08016011652,       0.845217541258
       8.41683345471,       0.844716539254
        8.7535067929,        0.84421553725
       9.09018013108,       0.843714535246
       9.42685346927,       0.843213533242
       9.76352680746,       0.842712531238
       10.1002001456,       0.842211529234
       10.4368734838,       0.841710527229
        10.773546822,       0.841209525225
       11.1102201602,       0.840708523221
       11.4468934984,       0.840207521217
       11.7835668366,       0.839706519213
       12.1202401748,       0.839205517209
        12.456913513,       0.838704515205
       12.7935868512,       0.838203513201
       13.1302601893,       0.837702511197
       13.4669335275,       0.837201509193
       13.8036068657,       0.836700507189
       14.1402802039,       0.836199505185
       14.4769535421,       0.835698503181
       14.8136268803,       0.835197501177
       15.1503002185,       0.834696499173
       15.4869735567,       0.834195497169
       15.8236468949,       0.833694495165
        16.160320233,       0.833193493161
       16.4969935712,       0.832692491157
       16.8336669094,       0.832191489153
       17.1703402476,       0.831690487149
       17.5070135858,       0.831189485145
        17.843686924,       0.830688483141
       18.1803602622,       0.830187481137
       18.5170336004,       0.829686479133
       18.8537069385,       0.829185477129
       19.1903802767,       0.828684475125
       19.5270536149,       0.828183473121
       19.8637269531,       0.827682471117
       20.2004002913,       0.827181469113
       20.5370736295,       0.826680467109
       20.8737469677,       0.826179465105
       21.2104203059,       0.825678463101
       21.5470936441,       0.825177461097
       21.8837669822,       0.824676459093
       22.2204403204,       0.824175457089
       22.5571136586,       0.823674455085
       22.8937869968,       0.823173453081
        23.230460335,       0.822672451077
       23.5671336732,       0.822171449073
       23.9038070114,       0.821670447069
       24.2404803496,       0.821169445065
       24.5771536877,       0.820668443061
       24.9138270259,       0.820167441057
       25.2505003641,       0.819666439053
       25.5871737023,       0.819165437049
       25.9238470405,       0.818664435045
       26.2605203787,       0.818163433041
       26.5971937169,       0.817662431037
       26.9338670551,       0.817161429033
       27.2705403933,       0.816660427029
       27.6072137314,       0.816159425025
       27.9438870696,       0.815658423021
       28.2805604078,       0.815157421017
        28.617233746,       0.814656419013
       28.9539070842,       0.814155417009
       29.2905804224,       0.813654415005
       29.6272537606,       0.813153413001
       29.9639270988,       0.812652410997
       30.3006004369,       0.812151408993
       30.6372737751,       0.811650406989
       30.9739471133,       0.811149404985
       31.3106204515,       0.810648402981
       31.6472937897,       0.810147400977
       31.9839671279,       0.809646398973
       32.3206404661,       0.809145396969
       32.6573138043,       0.808644394965
       32.9939871425,       0.808143392961
       33.3306604806,       0.807642390957
       33.6673338188,       0.807141388953
        34.004007157,       0.806640386949
       34.3406804952,       0.806139384945
       34.6773538334,       0.805638382941
       35.0140271716,       0.805137380937
       35.3507005098,       0.804636378933
        35.687373848,       0.804135376929
       36.0240471861,       0.803634374925
       36.3607205243,       0.803133372921
       36.6973938625,       0.802632370917
       37.0340672007,       0.802131368913
       37.3707405389,       0.801630366909
       37.7074138771,       0.801129364905
       38.0440872153,       0.800628362901
       38.3807605535,       0.800127360897
       38.7174338917,       0.799626358893
       39.0541072298,       0.799125356889
        39.390780568,       0.798624354885
       39.7274539062,       0.798123352881
       40.0641272444,       0.797622350877
       40.4008005826,       0.797121348873
       40.7374739208,       0.796620346869
        41.074147259,       0.796119344865
       41.4108205972,       0.795618342861
       41.7474939353,       0.795117340857
       42.0841672735,       0.794616338853
       42.4208406117,       0.794115336849
       42.7575139499,       0.793614334845
       43.0941872881,       0.793113332841
       43.4308606263,       0.792612330837
       43.7675339645,       0.792111328833
       44.1042073027,       0.791610326829
       44.4408806409,       0.791109324825
        44.777553979,       0.790608322821
       45.1142273172,       0.790107320817
       45.4509006554,       0.789606318813
       45.7875739936,       0.789105316809
       46.1242473318,       0.788604314805
         46.46092067,       0.788103312801
       46.7975940082,       0.787602310797
       47.1342673464,       0.787101308793
       47.4709406846,       0.786600306789
       47.8076140227,       0.786099304785
       48.1442873609,       0.785598302781
       48.4809606991,       0.785097300777
       48.8176340373,       0.784596298773
       49.1543073755,       0.784095296769
       49.4909807137,       0.783594294765
       49.8276540519,       0.783093292761
       50.1643273901,       0.782592290757
       50.5010007282,       0.782091288753
       50.8376740664,       0.781590286749
       51.1743474046,       0.781089284745
       51.5110207428,       0.780588282741
        51.847694081,       0.780087280737
       52.1843674192,       0.779586278732
       52.5210407574,       0.779085276728
       52.8577140956,       0.778584274724
       53.1943874338,        0.77808327272
       53.5310607719,       0.777582270716
       53.8677341101,       0.777081268712
       54.2044074483,       0.776580266708
       54.5410807865,       0.776079264704
       54.8777541247,         0.7755782627
       55.2144274629,       0.775077260696
       55.5511008011,       0.774576258692
       55.8877741393,       0.774075256688
       56.2244474774,       0.773574254684
       56.5611208156,        0.77307325268
       56.8977941538,       0.772572250676
        57.234467492,       0.772071248672
       57.5711408302,       0.771570246668
       57.9078141684,       0.771069244664
       58.2444875066,        0.77056824266
       58.5811608448,       0.770067240656
        58.917834183,       0.769566238652
       59.2545075211,       0.769065236648
       59.5911808593,       0.768564234644
       59.9278541975,        0.76806323264
       60.2645275357,       0.767562230636
       60.6012008739,       0.767061228632
       60.9378742121,       0.766560226628
       61.2745475503,       0.766059224624
       61.6112208885,        0.76555822262
       61.9478942266,       0.765057220616
       62.2845675648,       0.764556218612
        62.621240903,       0.764055216608
       62.9579142412,       0.763554214604
       63.2945875794,         0.7630532126
       63.6312609176,       0.762552210596
       63.9679342558,       0.762051208592
        64.304607594,       0.761550206588
