------------------------------------------------------------
 solve init
------------------------------------------------------------
Position (um), Hole Charge Concentration (/cm3)
                   0,        9925.37789492
      0.336673338188,        9925.37789492
      0.673346676377,        9925.37789492
       1.01002001456,        9925.37789492
       1.34669335275,        9925.37789492
       1.68336669094,        9925.37789492
       2.02004002913,        9925.37789492
       2.35671336732,        9925.37789492
       2.69338670551,        9925.37789492
       3.03006004369,        9925.37789492
       3.36673338188,        9925.37789492
       3.70340672007,        9925.37789492
       4.04008005826,        9925.37789492
       4.37675339645,        9925.37789492
       4.71342673464,        9925.37789492
       5.05010007282,        9925.37789492
       5.38677341101,        9925.37789492
        5.7234467492,        9925.37789492
       6.06012008739,        9925.37789492
       6.39679342558,        9925.37789492
       6.73346676377,        9925.37789492
       7.07014010195,        9925.37789492
       7.40681344014,        9925.37789492
       7.74348677833,        9925.37789492
       8.08016011652,        9925.37789492
       8.41683345471,        9925.37789492
        8.7535067929,        9925.37789492
       9.09018013108,        9925.37789492
       9.42685346927,        9925.37789492
       9.76352680746,        9925.37789492
       10.1002001456,        9925.37789492
       10.4368734838,        9925.37789492
        10.773546822,        9925.37789492
       11.1102201602,        9925.37789492
       11.4468934984,        9925.37789492
       11.7835668366,        9925.37789492
       12.1202401748,        9925.37789492
        12.456913513,        9925.37789492
       12.7935868512,        9925.37789492
       13.1302601893,        9925.37789492
       13.4669335275,        9925.37789492
       13.8036068657,        9925.37789492
       14.1402802039,        9925.37789492
       14.4769535421,        9925.37789492
       14.8136268803,        9925.37789492
       15.1503002185,        9925.37789492
       15.4869735567,        9925.37789492
       15.8236468949,        9925.37789492
        16.160320233,        9925.37789492
       16.4969935712,        9925.37789492
       16.8336669094,        9925.37789492
       17.1703402476,        9925.37789492
       17.5070135858,        9925.37789492
        17.843686924,        9925.37789492
       18.1803602622,        9925.37789492
       18.5170336004,        9925.37789492
       18.8537069385,        9925.37789492
       19.1903802767,        9925.37789492
       19.5270536149,        9925.37789492
       19.8637269531,        9925.37789492
       20.2004002913,        9925.37789492
       20.5370736295,        9925.37789492
       20.8737469677,        9925.37789492
       21.2104203059,        9925.37789492
       21.5470936441,        9925.37789492
       21.8837669822,        9925.37789492
       22.2204403204,        9925.37789492
       22.5571136586,        9925.37789492
       22.8937869968,        9925.37789492
        23.230460335,        9925.37789492
       23.5671336732,        9925.37789492
       23.9038070114,        9925.37789492
       24.2404803496,        9925.37789492
       24.5771536877,        9925.37789492
       24.9138270259,        9925.37789492
       25.2505003641,        9925.37789492
       25.5871737023,        9925.37789492
       25.9238470405,        9925.37789492
       26.2605203787,        9925.37789492
       26.5971937169,        9925.37789492
       26.9338670551,        9925.37789492
       27.2705403933,        9925.37789492
       27.6072137314,        9925.37789492
