------------------------------------------------------------
 solve init
------------------------------------------------------------
Position (um), Conduction Band Potential (eV)
                   0,       0.919884178691
       33.5999991512,       0.919884178691
       60.4799984721,       0.919884178691
       81.9839979289,       0.919884178691
       99.1871974943,       0.919884178691
       112.949757147,       0.919884178691
       123.959804869,       0.919884178691
       132.767843046,       0.919884178691
       139.814273588,       0.919884178691
       145.451418022,       0.919884178691
       149.961133568,       0.919884178691
       153.568906006,       0.919884178691
       156.455123956,       0.919884178691
       158.764098316,       0.919884178691
       160.611277804,       0.919884178691
       162.089021394,       0.919884178691
       163.271216267,       0.919884178691
       164.216972165,       0.919884178691
       164.973576883,       0.919884178691
       165.578860657,       0.919884178691
       166.063087677,       0.919884178691
       166.450469293,       0.919884178685
       166.760374586,       0.919884178316
        167.00829882,       0.919884162624
       167.206638207,       0.919883728311
       167.365309717,       0.919875814456
       167.492246925,       0.919779564669
       167.593796691,       0.918984133198
       167.675036504,       0.914452137067
       167.740028354,       0.897017393463
       167.792021835,       0.855691281011
       167.833616619,       0.795276772196
       167.866892446,        0.72799842779
       167.893513108,       0.661958553286
       167.914809638,        0.60130333484
       167.931846861,       0.547772024613
        167.94547664,        0.50174239166
       167.956380463,       0.462867729778
       167.965103522,       0.430455333946
       167.972081969,       0.403685198124
       167.977664726,       0.381731165844
       167.982130932,       0.363823425473
       167.985703897,       0.349276471854
       167.988562269,       0.337497358575
       167.990848966,       0.327983249826
       167.992678324,       0.320313663485
        167.99414181,       0.314140556668
         167.9953126,       0.309178026224
       167.996249231,       0.305192558983
       167.996998536,       0.301994268706
        167.99759798,       0.299429270445
       167.998077535,       0.297373186389
       167.998461179,       0.295725698188
       167.998768095,       0.294406026759
       167.999013627,       0.293349211986
       167.999210053,       0.292503069477
       167.999367193,       0.291825712894
       167.999492906,       0.291283544096
       167.999593476,       0.290849627449
       167.999673932,       0.290502377826
       167.999738297,        0.29022450365
       167.999789789,       0.290002156625
       167.999830982,       0.289824248474
       167.999863937,       0.289681902409
       167.999890301,       0.289568013046
       167.999911392,       0.289476893547
       167.999928265,       0.289403992821
       167.999941763,       0.289345668959
       167.999952561,        0.28929900777
         167.9999612,       0.289261677474
       167.999968111,       0.289231812377
        167.99997364,       0.289207919748
       167.999978063,       0.289188805293
       167.999981602,       0.289173513503
       167.999984433,       0.289161279927
       167.999986697,       0.289151492974
       167.999988509,       0.289143663352
       167.999989958,       0.289137399617
       167.999991118,       0.289132388604
       167.999992046,       0.289128379779
       167.999992788,       0.289125172709
       167.999993381,       0.289122607046
       167.999993856,       0.289120554512
       167.999994236,       0.289118912482
        167.99999454,       0.289117598857
       167.999994783,       0.289116547955
       167.999994978,       0.289115707233
       167.999995258,       0.289114496593
       167.999995437,       0.289113721782
       167.999995625,        0.28911290854
       167.999995809,       0.289112116627
       167.999996029,       0.289111165378
       167.999996228,       0.289110306395
       167.999996435,       0.289109409281
       167.999996734,       0.289108117443
        167.99999693,       0.289107271881
       167.999997164,       0.289106257212
       167.999997446,       0.289105039615
       167.999997784,       0.289103578508
        167.99999819,       0.289101825194
       167.999998677,       0.289099721236
       167.999999261,       0.289097196516
       167.999999962,       0.289094166893
       168.000000803,       0.289090531404
       168.000001813,       0.289086168903
       168.000003024,       0.289080934024
       168.000004478,       0.289074652347
       168.000006223,       0.289067114589
       168.000008316,       0.289058069646
       168.000010828,       0.289047216243
       168.000013842,        0.28903419292
        168.00001746,       0.289018566028
       168.000021801,       0.288999815334
        168.00002701,       0.288977316773
        168.00003326,        0.28895032177
       168.000040761,       0.288917932477
       168.000049762,       0.288879072106
       168.000060564,       0.288832449427
       168.000073525,       0.288776516274
       168.000089079,        0.28870941674
       168.000107744,       0.288628926457
       168.000130142,       0.288532380105
       168.000157019,       0.288416584942
       168.000189271,       0.288277717805
       168.000227974,       0.288111202601
       168.000274418,       0.287911564865
       168.000330151,       0.287672259499
        168.00039703,       0.287385467314
       168.000477284,       0.287041855569
        168.00057359,       0.286630297375
       168.000689157,       0.286137544696
       168.000827837,       0.285547849924
       168.000994253,       0.284842531911
       168.001193953,       0.283999484128
       168.001433592,       0.282992626105
        168.00172116,       0.281791304993
        168.00206624,       0.280359663431
       168.002480337,       0.278656004489
       168.002977254,        0.27663220675
       168.003573553,       0.274233276247
       168.004289113,       0.271397171776
       168.005147784,       0.268055112855
        168.00617819,       0.264132684075
       168.007414677,       0.259552196303
       168.008898461,       0.254236964358
       168.010679002,       0.248118415475
       168.012815651,       0.241147230316
        168.01537963,       0.233309942895
       168.018456405,       0.224652311426
       168.022148535,       0.215309644615
       168.026579091,        0.20554073484
       168.031895757,        0.19575397771
       168.038275758,       0.186500764164
       168.045931758,        0.17840006278
       168.055118959,       0.171975655462
       168.066143599,         0.1674606171
       168.079373168,       0.164703280336
        168.09524865,       0.163264738502
       168.114299229,       0.162634303914
       168.137159924,       0.162406655568
       168.164592758,       0.162340425497
       168.197512158,       0.162325273463
       168.237015439,       0.162322612201
       168.284419375,       0.162322261135
       168.341304099,       0.162322226997
       168.409565768,       0.162322224588
       168.491479771,       0.162322224466
       168.589776573,       0.162322224461
       168.707732737,       0.162322224461
       168.849280133,       0.162322224461
       169.019137009,       0.162322224461
       169.222965259,       0.162322224461
        169.46755916,       0.162322224461
       169.761071841,       0.162322224461
       170.113287058,       0.162322224461
       170.535945319,       0.162322224461
       171.043135231,       0.162322224461
       171.651763126,       0.162322224461
         172.3821166,       0.162322224461
       173.258540769,       0.162322224461
       174.310249772,       0.162322224461
       175.572300575,       0.162322224461
       177.086761539,       0.162322224461
       178.904114695,       0.162322224461
       181.084938483,       0.162322224461
       183.701927029,       0.162322224461
       186.842313284,       0.162322224461
       190.610776789,       0.162322224461
       195.132932996,       0.162322224461
       200.559520444,       0.162322224461
       207.071425381,       0.162322224461
       214.885711307,       0.162322224461
       224.262854417,       0.162322224461
       235.515426149,       0.162322224461
       249.018512228,       0.162322224461
       265.222215522,       0.162322224461
       284.666659475,       0.162322224461
       307.999992219,       0.162322224461
       335.999991512,       0.162322224461

