------------------------------------------------------------
 solve init
------------------------------------------------------------
Position (um), Electrostatic Potential (V)
                   0,      -0.355621589354
       33.5999991512,      -0.355621589354
       60.4799984721,      -0.355621589354
       81.9839979289,      -0.355621589354
       99.1871974943,      -0.355621589354
       112.949757147,      -0.355621589354
       123.959804869,      -0.355621589354
       132.767843046,      -0.355621589354
       139.814273588,      -0.355621589354
       145.451418022,      -0.355621589354
       149.961133568,      -0.355621589354
       153.568906006,      -0.355621589354
       156.455123956,      -0.355621589354
       158.764098316,      -0.355621589354
       160.611277804,      -0.355621589354
       162.089021394,      -0.355621589354
       163.271216267,      -0.355621589354
       164.216972165,      -0.355621589354
       164.973576883,      -0.355621589354
       165.578860657,      -0.355621589354
       166.063087677,      -0.355621589354
       166.450469293,      -0.355621589348
       166.760374586,      -0.355621588978
        167.00829882,      -0.355621573287
       167.206638207,      -0.355621138974
       167.365309717,      -0.355613225118
       167.492246925,      -0.355516975332
       167.593796691,      -0.354721543861
       167.675036504,      -0.350189547729
       167.740028354,      -0.332754804126
       167.792021835,      -0.291428691673
       167.833616619,      -0.231014182859
       167.866892446,      -0.163735838453
       167.893513108,     -0.0976959639486
       167.914809638,     -0.0370407455026
       167.931846861,      0.0164905647248
        167.94547664,      0.0625201976778
       167.956380463,        0.10139485956
       167.965103522,       0.133807255392
       167.972081969,       0.160577391213
       167.977664726,       0.182531423494
       167.982130932,       0.200439163864
       167.985703897,       0.214986117483
       167.988562269,       0.226765230762
       167.990848966,       0.236279339512
       167.992678324,       0.243948925852
        167.99414181,       0.250122032669
         167.9953126,       0.255084563114
       167.996249231,       0.259070030355
       167.996998536,       0.262268320631
        167.99759798,       0.264833318893
       167.998077535,       0.266889402948
       167.998461179,        0.26853689115
       167.998768095,       0.269856562578
       167.999013627,       0.270913377352
       167.999210053,        0.27175951986
       167.999367193,       0.272436876443
       167.999492906,       0.272979045242
       167.999593476,       0.273412961888
       167.999673932,       0.273760211512
       167.999738297,       0.274038085687
       167.999789789,       0.274260432713
       167.999830982,       0.274438340863
       167.999863937,       0.274580686928
       167.999890301,       0.274694576291
       167.999911392,        0.27478569579
       167.999928265,       0.274858596516
       167.999941763,       0.274916920378
       167.999952561,       0.274963581568
         167.9999612,       0.275000911864
       167.999968111,       0.275030776961
        167.99997364,       0.275054669589
       167.999978063,       0.275073784045
       167.999981602,       0.275089075834
       167.999984433,        0.27510130941
       167.999986697,       0.275111096364
       167.999988509,       0.275118925985
       167.999989958,       0.275125189721
       167.999991118,       0.275130200733
       167.999992046,       0.275134209558
       167.999992788,       0.275137416629
       167.999993381,       0.275139982291
       167.999993856,       0.275142034825
       167.999994236,       0.275143676855
        167.99999454,       0.275144990481
       167.999994783,       0.275146041382
       167.999994978,       0.275146882104
       167.999995258,       0.275148092745
       167.999995437,       0.275148867556
       167.999995625,       0.275149680797
       167.999995809,        0.27515047271
       167.999996029,       0.275151423959
       167.999996228,       0.275152282942
       167.999996435,       0.275153180057
       167.999996734,       0.275154471894
        167.99999693,       0.275155317456
       167.999997164,       0.275156332126
       167.999997446,       0.275157549722
       167.999997784,       0.275159010829
        167.99999819,       0.275160764144
       167.999998677,       0.275162868101
       167.999999261,       0.275165392822
       167.999999962,       0.275168422445
       168.000000803,       0.275172057934
       168.000001813,       0.275176420435
       168.000003024,       0.275181655313
       168.000004478,        0.27518793699
       168.000006223,       0.275195474748
       168.000008316,       0.275204519691
       168.000010828,       0.275215373094
       168.000013842,       0.275228396417
        168.00001746,        0.27524402331
       168.000021801,       0.275262774003
        168.00002701,       0.275285272564
        168.00003326,       0.275312267567
       168.000040761,       0.275344656861
       168.000049762,       0.275383517232
       168.000060564,       0.275430139911
       168.000073525,       0.275486073064
       168.000089079,       0.275553172598
       168.000107744,       0.275633662881
       168.000130142,       0.275730209233
       168.000157019,       0.275846004396
       168.000189271,       0.275984871532
       168.000227974,       0.276151386736
       168.000274418,       0.276351024472
       168.000330151,       0.276590329838
        168.00039703,       0.276877122024
       168.000477284,       0.277220733769
        168.00057359,       0.277632291962
       168.000689157,       0.278125044642
       168.000827837,       0.278714739413
       168.000994253,       0.279420057427
       168.001193953,       0.280263105209
       168.001433592,       0.281269963232
        168.00172116,       0.282471284345
        168.00206624,       0.283902925907
       168.002480337,       0.285606584848
       168.002977254,       0.287630382588
       168.003573553,        0.29002931309
       168.004289113,       0.292865417561
       168.005147784,       0.296207476483
        168.00617819,       0.300129905263
       168.007414677,       0.304710393035
       168.008898461,        0.31002562498
       168.010679002,       0.316144173862
       168.012815651,       0.323115359022
        168.01537963,       0.330952646442
       168.018456405,       0.339610277912
       168.022148535,       0.348952944722
       168.026579091,       0.358721854498
       168.031895757,       0.368508611628
       168.038275758,       0.377761825173
       168.045931758,       0.385862526557
       168.055118959,       0.392286933875
       168.066143599,       0.396801972237
       168.079373168,       0.399559309001
        168.09524865,       0.400997850835
       168.114299229,       0.401628285424
       168.137159924,        0.40185593377
       168.164592758,        0.40192216384
       168.197512158,       0.401937315874
       168.237015439,       0.401939977136
       168.284419375,       0.401940328203
       168.341304099,        0.40194036234
       168.409565768,        0.40194036475
       168.491479771,       0.401940364872
       168.589776573,       0.401940364876
       168.707732737,       0.401940364876
       168.849280133,       0.401940364876
       169.019137009,       0.401940364876
       169.222965259,       0.401940364876
        169.46755916,       0.401940364876
       169.761071841,       0.401940364876
       170.113287058,       0.401940364876
       170.535945319,       0.401940364876
       171.043135231,       0.401940364876
       171.651763126,       0.401940364876
         172.3821166,       0.401940364876
       173.258540769,       0.401940364876
       174.310249772,       0.401940364876
       175.572300575,       0.401940364876
       177.086761539,       0.401940364876
       178.904114695,       0.401940364876
       181.084938483,       0.401940364876
       183.701927029,       0.401940364876
       186.842313284,       0.401940364876
       190.610776789,       0.401940364876
       195.132932996,       0.401940364876
       200.559520444,       0.401940364876
       207.071425381,       0.401940364876
       214.885711307,       0.401940364876
       224.262854417,       0.401940364876
       235.515426149,       0.401940364876
       249.018512228,       0.401940364876
       265.222215522,       0.401940364876
       284.666659475,       0.401940364876
       307.999992219,       0.401940364876
